epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.8638,0.90368,5.65829,1.5843,0.25242,0.57803,0.37677,0.20958,0.95981,27.8563,1.44768,0.000475142,0.000475142,0.000475142
2,94.3302,1.03274,3.51014,1.71725,0.50479,0.72105,0.66865,0.38971,0.95601,13.9071,1.55074,0.00085728,0.00085728,0.00085728
3,135.883,1.05044,2.49693,1.74214,0.55433,0.53715,0.59682,0.42132,0.93606,13.3119,1.52032,0.0011451,0.0011451,0.0011451
4,177.312,1.00541,1.8505,1.66317,0.63748,0.58886,0.60087,0.37703,1.0234,8.71197,1.56091,0.00100459,0.00100459,0.00100459
5,219.26,0.96324,1.50577,1.60637,0.74962,0.63576,0.71094,0.49769,0.81301,3.4262,1.35749,0.000863116,0.000863116,0.000863116
6,260.911,0.84456,1.35333,1.50388,0.79443,0.8337,0.82851,0.61757,0.7131,7.23567,1.19173,0.000721645,0.000721645,0.000721645
7,303.438,0.80612,1.10746,1.44408,0.8881,0.77291,0.86592,0.62431,0.7468,5.11617,1.25086,0.000580174,0.000580174,0.000580174
8,345.654,0.74861,0.95718,1.37911,0.86817,0.811,0.88347,0.66778,0.67974,4.64201,1.15338,0.000438703,0.000438703,0.000438703
9,387.653,0.70393,0.8485,1.37057,0.81432,0.88006,0.90522,0.69255,0.65378,5.58509,1.12197,0.000297232,0.000297232,0.000297232
10,429.58,0.6313,0.79732,1.27798,0.94838,0.83787,0.93296,0.73916,0.60174,2.64473,1.05267,0.000155761,0.000155761,0.000155761
